티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
002140,고려산업,3460,3445,-15,-0.43,150536,519134710
010130,고려아연,560000,532000,-28000,-5.0,107156,57948306000
002240,고려제강,27350,28000,650,2.38,20071,547396900
009290,광동제약,7870,7870,0,0.0,42042,332017110
017040,광명전기,3130,3080,-50,-1.6,687766,2157703190
017900,광전자,3355,3350,-5,-0.15,665600,2228657170
037710,광주신세계,198000,197500,-500,-0.25,1077,211978500
030610,교보증권,8860,8800,-60,-0.68,101649,900234580
339770,교촌에프앤비,18150,17850,-300,-1.65,53337,957931050
007690,국도화학,68500,68300,-200,-0.29,41107,2816792200
005320,국동,2615,2530,-85,-3.25,765138,1959430285
001140,국보,2260,2210,-50,-2.21,6655270,14728303820
002720,국제약품,6190,6100,-90,-1.45,82149,505337020
083420,그린케미칼,11200,10900,-300,-2.68,492607,5474643100
014530,극동유화,4465,4360,-105,-2.35,242456,1062107300
014280,금강공업,7840,7940,100,1.28,40810,323931270
014285,금강공업우,12850,12850,0,0.0,6985,90563150
008870,금비,70600,70600,0,0.0,728,51660600
001570,금양,5260,5190,-70,-1.33,436957,2292534370
002990,금호건설,12250,12100,-150,-1.22,68338,826627400
002995,금호건설우,32150,32100,-50,-0.16,139,4463800
011780,금호석유,173500,173000,-500,-0.29,160090,27748842000
011785,금호석유우,112000,112000,0,0.0,37088,4139236500
214330,금호에이치티,2170,2165,-5,-0.23,598215,1297777290
001210,금호전기,3760,3795,35,0.93,182700,694800785
073240,금호타이어,5560,5480,-80,-1.44,258717,1424024380
092440,기신정기,4370,4350,-20,-0.46,23812,104234840
000270,기아,85000,86000,1000,1.18,3809314,331686366800
024110,기업은행,11400,11150,-250,-2.19,2312487,25993418450
013700,까뮤이앤씨,2845,2830,-15,-0.53,785727,2199745560
004540,깨끗한나라,4605,4545,-60,-1.3,119928,548502020
004545,깨끗한나라우,23400,23250,-150,-0.64,298,6848250
001260,남광토건,15600,15350,-250,-1.6,29681,459058400
008350,남선알미늄,2985,2970,-15,-0.5,1058101,3153744625
008355,남선알미우,25800,25900,100,0.39,704,18092400
004270,남성,3555,3420,-135,-3.8,409821,1423399040
003920,남양유업,441500,495000,53500,12.12,101205,51617749000
003925,남양유업우,201000,246000,45000,22.39,7507,1871514000
025860,남해화학,13100,12950,-150,-1.15,1767636,23550301350
005720,넥센,5060,5010,-50,-0.99,14792,74162800
005725,넥센우,3640,3635,-5,-0.14,206,749030
002350,넥센타이어,7750,7660,-90,-1.16,87882,673692880
002355,넥센타이어1우B,3370,3365,-5,-0.15,4051,13629525
003580,넥스트사이언스,19000,18950,-50,-0.26,1527361,28995965150
251270,넷마블,129000,123500,-5500,-4.26,219269,27485333500
090350,노루페인트,9990,10150,160,1.6,55893,566679650
090355,노루페인트우,20800,20850,50,0.24,2149,45207850
000320,노루홀딩스,12500,12450,-50,-0.4,12378,154811300
000325,노루홀딩스우,48250,47800,-450,-0.93,5709,276367750
006280,녹십자,267500,269500,2000,0.75,151228,41335201000
005250,녹십자홀딩스,29500,29900,400,1.36,105254,3179156800
005257,녹십자홀딩스2우,68500,69000,500,0.73,1585,110291000
004370,농심,288500,284000,-4500,-1.56,13726,3927730000
072710,농심홀딩스,77800,77200,-600,-0.77,1146,88714700
058730,다스코,5270,5260,-10,-0.19,50175,261587060
023590,다우기술,23850,23750,-100,-0.42,86209,2043353850
145210,다이나믹디자인,490,487,-3,-0.61,565254,273592169
019680,대교,4405,4370,-35,-0.79,54956,240099480
019685,대교우B,3375,3275,-100,-2.96,53079,177306220
006370,대구백화점,11100,10850,-250,-2.25,15023,166425550
008060,대덕,7350,7470,120,1.63,208796,1554943930
00806K,대덕1우,11050,11000,-50,-0.45,4707,52526650
353200,대덕전자,17200,17850,650,3.78,1751400,31080948350
35320K,대덕전자1우,13600,14000,400,2.94,19399,269240800
000490,대동,10000,10000,0,0.0,148592,1491536510
008110,대동전자,8060,8010,-50,-0.62,140157,1119596290
005750,대림BCo,7010,7080,70,1.0,21776,155799850
006570,대림통상,3810,3765,-45,-1.18,7949,30076395
001680,대상,24150,23950,-200,-0.83,93170,2241553750
001685,대상우,18300,18250,-50,-0.27,1243,22670550
084690,대상홀딩스,10050,9980,-70,-0.7,47605,479148440
084695,대상홀딩스우,11900,11900,0,0.0,3639,43187050
128820,대성산업,5560,5300,-260,-4.68,590475,3190347160
117580,대성에너지,10300,9780,-520,-5.05,759619,7528494630
016710,대성홀딩스,43550,44350,800,1.84,170203,7421897400
003540,대신증권,21200,21050,-150,-0.71,104869,2203335500
003547,대신증권2우B,18850,18850,0,0.0,39359,741510850
003545,대신증권우,19250,19200,-50,-0.26,56656,1090819950
009190,대양금속,5370,5430,60,1.12,2179210,11972977850
014160,대영포장,2630,2520,-110,-4.18,2426614,6288198590
047040,대우건설,6630,6380,-250,-3.77,2875391,18541969900
009320,대우부품,3235,3250,15,0.46,5428506,17683272365
042660,대우조선해양,25450,25150,-300,-1.18,604629,15601192550
003090,대웅,33000,32950,-50,-0.15,57666,1915124250
069620,대웅제약,142000,143500,1500,1.06,53189,7727376000
000430,대원강업,4285,4255,-30,-0.7,339970,1454288565
006340,대원전선,1995,1970,-25,-1.25,936701,1863320920
006345,대원전선우,3445,3430,-15,-0.44,8163,28137030
003220,대원제약,16350,16250,-100,-0.61,556792,9293600500
024890,대원화성,5720,6190,470,8.22,9861878,59792724910
002880,대유에이텍,1840,1910,70,3.8,16078378,30735615910
000300,대유플러스,1470,1440,-30,-2.04,1736807,2534777955
012800,대창,2100,2080,-20,-0.95,853256,1799125270
015230,대창단조,7560,7650,90,1.19,43971,338754320
001070,대한방직,45900,47100,1200,2.61,11716,539501750
006650,대한유화,189500,186000,-3500,-1.85,64494,12161524500
001440,대한전선,2315,2275,-40,-1.73,4968460,11399862965
084010,대한제강,19000,18850,-150,-0.79,66427,1261407450
001790,대한제당,3390,3275,-115,-3.39,436202,1454637500
001795,대한제당우,3455,3365,-90,-2.6,60399,205414455
001130,대한제분,162500,163500,1000,0.62,5189,848089500
003490,대한항공,30800,30800,0,0.0,1905201,58835191950
003495,대한항공우,40250,40050,-200,-0.5,3517,141177100
005880,대한해운,2855,2840,-15,-0.53,1236641,3547076630
003830,대한화섬,136500,136500,0,0.0,252,34365500
016090,대현,3035,2930,-105,-3.46,1002514,2952757860
069460,대호에이엘,3935,3835,-100,-2.54,192836,745414135
192080,더블유게임즈,65900,64100,-1800,-2.73,442351,29031638600
012510,더존비즈온,87000,80400,-6600,-7.59,509567,41808047700
004830,덕성,17150,18000,850,4.96,1499966,26729693750
004835,덕성우,22800,23300,500,2.19,92324,2161860450
024900,덕양산업,3395,3455,60,1.77,390924,1345337685
145720,덴티움,71100,69800,-1300,-1.83,55105,3888419600
002150,도화엔지니어링,8040,7950,-90,-1.12,24886,198771640
001230,동국제강,17850,17200,-650,-3.64,601183,10445895300
023450,동남합성,64900,64700,-200,-0.31,847,54804600
004140,동방,4110,4055,-55,-1.34,202906,828317265
007590,동방아그로,7490,7410,-80,-1.07,15350,114152330
005960,동부건설,15250,15250,0,0.0,136247,2085138200
005965,동부건설우,38000,38450,450,1.18,2012,77337750
026960,동서,36150,35200,-950,-2.63,271325,9756361650
002210,동성제약,9030,9000,-30,-0.33,66914,601207520
102260,동성케미컬,5830,5780,-50,-0.86,46089,267159550
000640,동아쏘시오홀딩스,108000,107000,-1000,-0.93,25680,2723305000
170900,동아에스티,72900,72900,0,0.0,17268,1256986800
028100,동아지질,18800,18600,-200,-1.06,34451,644089750
282690,동아타이어,13000,13200,200,1.54,30302,397659000
001520,동양,1575,1610,35,2.22,1733500,2832819400
001527,동양2우B,14650,14800,150,1.02,1415,20982650
001529,동양3우B,35600,35350,-250,-0.7,1162,41344500
084670,동양고속,22000,21850,-150,-0.68,2499,54764150
082640,동양생명,6950,6960,10,0.14,292919,2038450450
001525,동양우,7620,7750,130,1.71,1464,11397800
008970,동양철관,1470,1465,-5,-0.34,1713505,2540701430
092780,동양피스톤,8360,8150,-210,-2.51,276217,2280027240
049770,동원FB,211500,209500,-2000,-0.95,2865,602117000
018500,동원금속,1005,1010,5,0.5,137110,138012870
006040,동원산업,231000,228500,-2500,-1.08,2216,506887000
030720,동원수산,9770,9520,-250,-2.56,23460,225106400
014820,동원시스템즈,54800,53300,-1500,-2.74,66501,3590606200
014825,동원시스템즈우,35500,35100,-400,-1.13,185,6482350
163560,동일고무벨트,8420,8430,10,0.12,16243,136473670
004890,동일산업,142500,142000,-500,-0.35,1845,260508000
002690,동일제강,3470,3530,60,1.73,44293,155409020
000020,동화약품,16400,16950,550,3.35,1431041,24318175800
000150,두산,108500,102500,-6000,-5.53,90976,9437057000
000157,두산2우B,129000,121000,-8000,-6.2,6763,858684500
241560,두산밥캣,39800,38450,-1350,-3.39,182450,7159358200
000155,두산우,76200,73500,-2700,-3.54,3363,251982700
034020,두산중공업,25700,24200,-1500,-5.84,20971502,525928516400
336260,두산퓨얼셀,54900,50600,-4300,-7.83,1884777,99562227500
33626K,두산퓨얼셀1우,16350,15800,-550,-3.36,38652,621963450
33626L,두산퓨얼셀2우B,20650,19800,-850,-4.12,11912,239734850
016740,두올,4765,4605,-160,-3.36,467467,2183068290
192650,드림텍,10250,10150,-100,-0.98,115648,1182579750
024090,디씨엠,22300,22200,-100,-0.45,77781,1675055000
003160,디아이,7830,8030,200,2.55,309215,2466050470
092200,디아이씨,5650,5620,-30,-0.53,404565,2302500240
377190,디앤디플랫폼리츠,5490,5490,0,0.0,90023,493922060
013570,디와이,5500,5500,0,0.0,45670,250111080
210540,디와이파워,13100,12950,-150,-1.15,79514,1031533950
007340,디티알오토모티브,56600,58900,2300,4.06,50935,2987063400
026890,디피씨,15800,15200,-600,-3.8,1213174,18827258900
115390,락앤락,10750,10650,-100,-0.93,54163,577403450
032350,롯데관광개발,21000,20300,-700,-3.33,584270,11972119800
089860,롯데렌탈,39450,39050,-400,-1.01,80200,3136903800
330590,롯데리츠,5700,5660,-40,-0.7,172977,979405030
000400,롯데손해보험,1890,1865,-25,-1.32,224042,418744485
023530,롯데쇼핑,105000,104500,-500,-0.48,47311,4956272500
004000,롯데정밀화학,84600,83900,-700,-0.83,247607,20892652400
286940,롯데정보통신,37150,39150,2000,5.38,185896,7157359850
280360,롯데제과,131000,129000,-2000,-1.53,8494,1101994750
004990,롯데지주,33650,33150,-500,-1.49,97592,3254071450
00499K,롯데지주우,52300,52400,100,0.19,186,9788600
005300,롯데칠성,159500,158000,-1500,-0.94,66882,10737986000
005305,롯데칠성우,73000,73700,700,0.96,1182,87488900
011170,롯데케미칼,232000,229000,-3000,-1.29,156204,35961799500
002270,롯데푸드,388000,388000,0,0.0,731,282454500
071840,롯데하이마트,28200,27950,-250,-0.89,53879,1511233450
027740,마니커,434,434,0,0.0,0,0
